"id","RI","Raw.file","celltype","lcbatch","sortday","digest","cvm"
"i69","Reporter.intensity.corrected.5","XwAL00095","CFPACI","A","B","C",0.280073678667903
"i7","Reporter.intensity.corrected.7","XwAL00091","CFPACI","A","B","C",0.239661605564938
"i70","Reporter.intensity.corrected.6","XwAL00095","CFPACI","A","B","C",0.274914672350359
"i71","Reporter.intensity.corrected.7","XwAL00095","BxPC3","A","B","C",0.235743956274779
"i72","Reporter.intensity.corrected.8","XwAL00095","BxPC3","A","B","C",0.286181343127884
"i73","Reporter.intensity.corrected.9","XwAL00095","BxPC3","A","B","C",0.247483899855249
"i74","Reporter.intensity.corrected.10","XwAL00095","control","A","B","C",0.745707254716596
"i75","Reporter.intensity.corrected.11","XwAL00095","HPAFII","A","B","C",0.269747877748297
"i76","Reporter.intensity.corrected.12","XwAL00095","HPAFII","A","B","C",0.218469429983892
"i77","Reporter.intensity.corrected.13","XwAL00095","HPAFII","A","B","C",0.689454845021199
"i78","Reporter.intensity.corrected.14","XwAL00095","HPAFII","A","B","C",0.308112004031934
"i79","Reporter.intensity.corrected.15","XwAL00095","CFPACI","A","B","C",0.28311136435335
"i8","Reporter.intensity.corrected.8","XwAL00091","CFPACI","A","B","C",0.25335846030619
"i80","Reporter.intensity.corrected.16","XwAL00095","CFPACI","A","B","C",0.258794472531957
"i85","Reporter.intensity.corrected.5","XwAL00096","HPAFII","A","B","C",0.258763295147216
"i86","Reporter.intensity.corrected.6","XwAL00096","HPAFII","A","B","C",0.25581635501036
"i87","Reporter.intensity.corrected.7","XwAL00096","HPAFII","A","B","C",0.265923092907888
"i88","Reporter.intensity.corrected.8","XwAL00096","CFPACI","A","B","C",0.270791651763911
"i89","Reporter.intensity.corrected.9","XwAL00096","CFPACI","A","B","C",0.240628971836823
"i9","Reporter.intensity.corrected.9","XwAL00091","CFPACI","A","B","C",0.248056182992568
"i90","Reporter.intensity.corrected.10","XwAL00096","CFPACI","A","B","C",0.236683749293193
"i91","Reporter.intensity.corrected.11","XwAL00096","CFPACI","A","B","C",0.230250295841457
"i92","Reporter.intensity.corrected.12","XwAL00096","BxPC3","A","B","C",0.311988533197446
"i93","Reporter.intensity.corrected.13","XwAL00096","BxPC3","A","B","C",0.258840798369725
"i94","Reporter.intensity.corrected.14","XwAL00096","BxPC3","A","B","C",0.246317715399737
"i95","Reporter.intensity.corrected.15","XwAL00096","BxPC3","A","B","C",0.27883469042114
"i96","Reporter.intensity.corrected.16","XwAL00096","control","A","B","C",0.839688805518235
